id	lastName	givenName1	givenName2	dateOfBirth	sex	isAlive	locality	postcode	originalContext	recordDate
1000	Moline	Pierre	Vernon	1989-10-01	M	Y	Woodville (NSW)	2321	null	2008-10-20
1001	Laurence	Curtis	Gaylord	1997-01-21	M	Y	South Melbourne	3205	null	2004-12-16
1002	Oliveri	Orval	Loyd	1974-05-21	M	Y	Doolandella	4077	null	1999-07-17
1003	Pellerin	Carmelo	Donnie	1991-07-12	M	Y	Bondi	2026	null	2011-01-22
1004	Crum	Stan	Quintin	1964-05-28	M	Y	Hillcrest (Qld)	4118	null	2016-03-22
1005	Brink	Domenic	Tyrone	1982-04-12	M	Y	Reservoir (Vic.)	3073	null	2013-12-26
1006	Barclay	Chad	Noble	1971-03-14	M	Y	Guinea	International	null	2007-01-09
1007	Leung	Mack	Christian	1969-01-06	M	Y	Garbutt	4814	null	2010-12-14
1008	Mcdade	Aurelio	Felton	1959-03-24	M	Y	Riverside (NSW)	2444	null	2012-11-25
1009	Jefferies	Marcus	Bernard	1938-10-10	M	N	Abbotsford (Vic.)	3067	null	2000-05-02
1010	Berkley	Hal	Haywood	1979-10-27	M	Y	Geebung	4034	null	2005-04-22
1011	Dahl	Pamala	Graciela	1994-03-24	F	Y	Sawtell	2452	null	2004-02-22
1012	Zacharias	Kiara	Caroline	1941-08-12	F	Y	Bomaderry	2541	null	1999-07-23
1013	Zaleski	Teressa	Queen	1965-07-05	F	Y	Parkwood (Qld)	4214	null	2005-10-14
1014	Craddock	Alyssa	Alicia	1984-09-17	F	Y	Point Cook	3030	null	2002-08-09
1015	King	Enoch	Stanton	1962-11-20	M	Y	Lilydale (Vic.)	3140	null	2012-08-16
1016	Windsor	Shamika	Jody	1968-08-25	F	Y	Hawthorn East	3123	null	2015-02-04
1017	Knapp	Emil	Mauricio	1992-06-14	M	Y	Birchgrove	2041	null	2001-12-10
1018	Eggert	Madeleine	Anabel	1950-05-19	F	Y	Willung South	3847	null	2006-01-03
1019	Schaff	Lucienne	Ashton	1948-10-21	F	N	Tolga	4882	null	2014-05-12
1020	Mcreynolds	Oliver	Lamar	1961-06-10	M	Y	Newport (NSW)	2106	null	2009-01-20
1021	Blasingame	Cassidy	Coral	1985-10-02	F	Y	Mornington (Vic.)	3931	null	2017-08-04
1022	Morlock	Oswaldo	Lane	1975-04-23	M	N	Mermaid Waters	4218	null	2018-02-22
1023	Shreve	Elouise	Chantelle	1943-12-09	F	Y	Glenunga	5064	null	2002-09-24
1024	Linder	Freddie	Dominic	1947-08-10	M	Y	Leeming	6149	null	2006-03-16
1025	Semple	Estrella	Paul	1949-07-28	F	Y	Helensvale	4212	null	2009-06-13
1026	Vankirk	Odell	Ivan	1955-07-22	M	Y	Hawthorn (Vic.)	3122	null	1999-07-28
1027	Petrucci	Bernie	Eddy	1976-08-28	M	Y	Parramatta	2150	null	2003-07-14
1028	Hawkes	Todd	Walter	1995-10-03	M	Y	Kings Park (Vic.)	3021	null	2003-03-28
1029	Worthington	Christen	Juan	1999-11-06	F	Y	Wondalga	2729	null	2016-06-22
1030	Doughty	Federico	Ricardo	1968-05-10	M	Y	Memerambi	4610	null	2004-10-21
1031	Keeton	Bennett	Raymond	1930-04-28	M	N	Plympton Park	5038	null	1999-11-04
1032	Ramsdell	Daren	Milford	1976-03-13	M	Y	Riverhills	4074	null	2003-02-01
1033	Barham	Brittany	Demetra	1972-06-15	F	Y	Rochedale	4123	null	2009-12-06
1034	Wilkerson	Nidia	Trista	1994-02-12	F	Y	Truganina	3029	null	2003-04-18
1035	Hiles	Ellen	Rubye	1960-10-05	F	Y	Artarmon	2064	null	2016-09-02
1036	Gardner	Freddie	Lana	1984-12-08	F	Y	Timor Leste	International	null	2006-06-01
1037	Sandy	Shonda	Carroll	1969-12-11	F	Y	Mount Eliza	3930	null	2006-08-14
1038	Pfister	Olin	Burl	1974-04-11	M	Y	Marayong	2148	null	2001-08-27
1039	Deloach	Jules	Eugene	1989-06-01	M	Y	Emu Heights (NSW)	2750	null	2010-03-01
1040	Soderberg	Rod	Pete	1983-02-17	M	Y	North Haven (SA)	5018	null	2000-04-17
1041	Presnell	Peggy	Denise	1947-02-12	F	Y	O'Halloran Hill	5158	null	2001-03-10
1042	Knecht	Juan	Gino	1979-11-25	M	Y	Greenvale (Vic.)	3059	null	2006-03-13
1043	Conn	Tawanna	Laureen	1987-07-25	F	Y	Enmore (Marrickville - NSW)	2042	null	2013-05-23
1044	Helton	Sharonda	Jeniffer	1967-09-04	F	Y	Woodvale (WA)	6026	null	2001-12-12
1045	Mohan	Donn	Emilio	1954-02-26	M	Y	Paralowie	5108	null	2013-04-20
1046	Bittinger	Patty	Augusta	1948-02-04	F	N	Hewett	5118	null	2015-03-06
1047	Gaston	Tristan	Marshall	1997-11-04	M	N	Wulguru	4811	null	2006-07-12
1048	Schafer	Darin	Jorge	1999-09-23	M	Y	Holland Park	4121	null	2011-02-12
1049	Hair	Ellen	Marva	1954-10-09	F	Y	East Ipswich	4305	null	2006-02-25
1050	Guice	Nova	Kari	1999-10-23	F	Y	Brinsmead	4870	null	2017-01-16
1051	Gott	David	Shane	1962-10-06	M	Y	Findon	5023	null	2013-09-26
1052	Ashley	Rene	Gerry	1950-04-28	F	Y	Newnham	7248	null	2000-07-18
1053	Renshaw	Penny	Jocelyn	1952-08-10	F	N	Mosman	2088	null	2017-10-04
1054	Wall	Horacio	Floyd	1958-05-17	M	Y	Bardwell Valley	2207	null	2000-02-07
1055	Prentiss	Santa	Kimberly	1959-07-22	F	Y	Erskine (WA)	6210	null	2000-04-12
1056	Locke	Delois	Julia	1986-11-24	F	Y	New Farm	4005	null	2002-11-05
1057	Revis	Marylin	Chana	1999-09-20	F	Y	Macleod (Vic.)	3085	null	2015-02-11
1058	Boettcher	Barney	Myles	1978-06-08	M	Y	Edithvale	3196	null	2001-10-12
1059	Tippett	Agatha	Alina	1953-11-02	F	Y	Bellevue Heights	5050	null	2018-12-03
1060	Kiger	Marci	Sheryl	1982-10-03	F	Y	Donvale	3111	null	1999-11-08
1061	Perrin	Elliott	Agustin	1956-02-07	M	Y	Woodvale (WA)	6026	null	2011-07-13
1062	Minton	Joyce	Gertrude	1971-12-09	F	Y	Lambton	2299	null	2015-08-10
1063	Schuster	Henry	Alphonso	1994-08-19	M	Y	Broken Hill	2880	null	2002-03-26
1064	Adamski	Tricia	Ouida	1933-09-09	F	N	Bracken Ridge	4017	null	2001-07-25
1065	Cornett	Moshe	Kraig	1940-05-25	M	N	Hilbert	6112	null	2009-01-05
1066	Mulhern	Beverley	Taryn	1959-10-11	F	Y	Colombia	International	null	2000-04-11
1067	Ley	Ross	Francis	1965-10-12	M	Y	Iraq	International	null	2018-11-07
1068	Gutowski	Angelina	Cherly	2005-09-24	F	N	Point Arkwright	4573	null	2009-11-05
1069	Doucette	Augustine	Nikki	1957-02-22	F	N	Canning Vale	6155	null	2001-08-13
1070	Leech	Alden	Jerrold	1998-02-27	M	Y	Forresters Beach	2260	null	2003-11-19
1071	Vanhorn	Ezekiel	Alvaro	1965-04-17	M	Y	Ironpot (Rockhampton - Qld)	4701	null	2009-10-06
1072	Boger	Alexia	Odette	1990-10-22	F	Y	Hungary	International	null	2001-12-03
1073	Drouin	Garth	Darryl	1950-04-11	M	N	Norwood (SA)	5067	null	2018-04-20
1074	Rounds	Ahmed	Rafael	1993-07-13	M	Y	Aroona	4551	null	2015-06-24
1075	Mace	Marcos	Darrel	2001-10-18	M	Y	Wandin East	3139	null	2006-08-15
1076	Michaelson	Candice	Winnie	1947-01-18	F	Y	Smithfield (SA)	5114	null	2001-12-24
1077	Barlow	Joaquin	Randolph	1956-08-10	M	Y	Churchill (Vic.)	3842	null	2007-05-26
1078	Boucher	Damien	Enoch	1965-11-08	M	Y	Henley Brook	6055	null	2018-01-13
1079	Okelley	Mandy	Ginger	1964-06-02	F	Y	Toorak	3142	null	2015-10-11
1080	Slabaugh	Sherita	Jettie	1991-01-02	F	Y	Stirling (WA)	6021	null	2018-03-28
1081	Seth	Winnie	Aurora	1984-04-10	F	Y	South Turramurra	2074	null	1999-08-20
